"COM";"Région";"Commune";"PTOT";"Médecin généraliste";"Masseur kinésithérapeute";"Pédicure-podologue";"Diététicien";"LIBGEO";"Boulodrome";"Tennis";"Athlétisme";"Plateaux et terrains de jeux extérieurs";"Salles spécialisées";"Terrains de grands jeux";"Salles de combat";"Salles de remise en forme";"Salles multisports (gymnase)"
"59367";"Hauts-de-France";"Lys-lez-Lannoy";"13929";"11";"23";"3";"2";"Lys-lez-Lannoy";"1";"1";"0";"2";"1";"2";"0";"2";"3"
"59383";"Hauts-de-France";"Marly";"12146";"14";"20";"4";"0";"Marly";"2";"2";"1";"3";"1";"4";"2";"1";"4"
"59386";"Hauts-de-France";"Marquette-lez-Lille";"11277";"9";"28";"2";"5";"Marquette-lez-Lille";"1";"2";"2";"4";"0";"3";"1";"1";"3"
"59421";"Hauts-de-France";"Mouvaux";"13362";"15";"18";"2";"2";"Mouvaux";"3";"1";"1";"1";"5";"2";"1";"1";"3"
"59426";"Hauts-de-France";"Neuville-en-Ferrain";"10228";"8";"27";"3";"0";"Neuville-en-Ferrain";"0";"1";"0";"3";"2";"2";"1";"2";"2"
"59491";"Hauts-de-France";"Raismes";"12108";"12";"11";"3";"1";"Raismes";"4";"1";"1";"1";"2";"4";"3";"0";"6"
"59507";"Hauts-de-France";"Ronchin";"19573";"14";"24";"5";"6";"Ronchin";"2";"2";"3";"4";"3";"5";"1";"4";"7"
"59508";"Hauts-de-France";"Roncq";"13897";"13";"20";"4";"4";"Roncq";"3";"2";"0";"2";"4";"3";"1";"2";"1"
"59526";"Hauts-de-France";"Saint-Amand-les-Eaux";"16160";"26";"31";"7";"7";"Saint-Amand-les-Eaux";"2";"1";"2";"3";"3";"5";"2";"2";"4"
"59527";"Hauts-de-France";"Saint-André-lez-Lille";"13053";"16";"24";"2";"1";"Saint-André-lez-Lille";"1";"1";"0";"3";"3";"3";"1";"0";"1"
"59544";"Hauts-de-France";"Saint-Saulve";"11268";"16";"19";"3";"1";"Saint-Saulve";"2";"1";"0";"4";"1";"3";"1";"0";"3"
"59560";"Hauts-de-France";"Seclin";"12928";"10";"20";"4";"1";"Seclin";"2";"1";"1";"2";"1";"1";"1";"1";"3"
"59569";"Hauts-de-France";"Sin-le-Noble";"15705";"14";"16";"4";"0";"Sin-le-Noble";"1";"2";"1";"2";"2";"2";"1";"0";"2"
"59574";"Hauts-de-France";"Somain";"11881";"11";"9";"6";"1";"Somain";"2";"1";"1";"6";"0";"3";"0";"3";"3"
"59616";"Hauts-de-France";"Vieux-Condé";"10504";"11";"13";"2";"2";"Vieux-Condé";"4";"0";"1";"0";"0";"2";"1";"1";"2"
"59636";"Hauts-de-France";"Wambrechies";"10912";"13";"24";"3";"3";"Wambrechies";"1";"1";"1";"2";"3";"4";"0";"1";"1"
"59648";"Hauts-de-France";"Wattignies";"15735";"17";"23";"5";"2";"Wattignies";"1";"1";"2";"1";"4";"3";"3";"2";"5"
"60139";"Hauts-de-France";"Chambly";"10102";"4";"7";"2";"2";"Chambly";"2";"1";"1";"3";"2";"4";"1";"0";"4"
"60141";"Hauts-de-France";"Chantilly";"10889";"19";"20";"10";"4";"Chantilly";"2";"1";"0";"3";"1";"0";"1";"0";"3"
"60157";"Hauts-de-France";"Clermont";"10692";"8";"8";"7";"1";"Clermont";"3";"2";"0";"3";"1";"0";"1";"0";"5"
"60176";"Hauts-de-France";"Crépy-en-Valois";"14494";"12";"11";"4";"1";"Crépy-en-Valois";"2";"1";"0";"2";"1";"1";"4";"2";"5"
"60395";"Hauts-de-France";"Méru";"14510";"8";"5";"4";"0";"Méru";"0";"1";"1";"4";"2";"3";"3";"1";"5"
"60414";"Hauts-de-France";"Montataire";"13845";"8";"4";"2";"2";"Montataire";"2";"3";"2";"9";"3";"7";"2";"1";"5"
"60471";"Hauts-de-France";"Noyon";"13215";"13";"4";"5";"4";"Noyon";"1";"2";"1";"7";"3";"6";"3";"1";"4"
"60509";"Hauts-de-France";"Pont-Sainte-Maxence";"12421";"7";"9";"4";"0";"Pont-Sainte-Maxence";"1";"1";"1";"6";"2";"3";"2";"1";"3"
"60612";"Hauts-de-France";"Senlis";"15805";"14";"19";"6";"1";"Senlis";"4";"3";"2";"8";"6";"3";"3";"3";"6"
"61006";"Normandie";"Argentan";"13659";"14";"10";"5";"0";"Argentan";"3";"3";"1";"4";"7";"2";"1";"4";"8"
"61169";"Normandie";"Flers";"14821";"10";"15";"6";"0";"Flers";"1";"1";"1";"0";"4";"4";"3";"1";"4"
"62048";"Hauts-de-France";"Auchel";"10105";"7";"12";"4";"1";"Auchel";"2";"1";"2";"7";"0";"5";"1";"1";"5"
"62065";"Hauts-de-France";"Avion";"17807";"11";"10";"3";"0";"Avion";"8";"1";"1";"4";"5";"9";"2";"2";"6"
"62108";"Hauts-de-France";"Berck";"13635";"12";"24";"3";"1";"Berck";"2";"1";"2";"4";"2";"1";"1";"0";"2"
"62186";"Hauts-de-France";"Bully-les-Mines";"12296";"5";"15";"2";"0";"Bully-les-Mines";"2";"0";"0";"1";"2";"2";"1";"2";"4"
"62215";"Hauts-de-France";"Carvin";"17948";"14";"27";"6";"2";"Carvin";"3";"2";"1";"10";"6";"5";"2";"1";"3"
"62250";"Hauts-de-France";"Courrières";"10299";"14";"24";"1";"1";"Courrières";"0";"2";"1";"1";"1";"4";"1";"1";"2"
"62318";"Hauts-de-France";"Étaples";"11057";"17";"16";"4";"1";"Étaples";"1";"1";"0";"0";"1";"3";"1";"0";"1"
"62413";"Hauts-de-France";"Harnes";"12405";"17";"10";"3";"1";"Harnes";"3";"1";"0";"5";"1";"2";"1";"1";"5"
"62516";"Hauts-de-France";"Lillers";"10087";"7";"11";"2";"0";"Lillers";"2";"1";"0";"4";"0";"3";"1";"0";"4"
"62525";"Hauts-de-France";"Longuenesse";"11035";"5";"8";"3";"0";"Longuenesse";"3";"3";"1";"0";"2";"6";"1";"0";"5"
"62548";"Hauts-de-France";"Marck";"10627";"3";"6";"2";"0";"Marck";"2";"1";"2";"4";"1";"4";"1";"0";"3"
"62570";"Hauts-de-France";"Méricourt";"11480";"9";"13";"2";"1";"Méricourt";"5";"0";"1";"3";"2";"1";"1";"1";"2"
"62617";"Hauts-de-France";"Nœux-les-Mines";"11568";"10";"17";"4";"3";"Nœux-les-Mines";"8";"1";"0";"3";"1";"3";"1";"1";"4"
"62637";"Hauts-de-France";"Oignies";"10255";"7";"15";"8";"1";"Oignies";"2";"1";"1";"3";"3";"3";"1";"1";"3"
"62643";"Hauts-de-France";"Outreau";"13415";"15";"17";"3";"3";"Outreau";"1";"1";"2";"3";"4";"2";"2";"1";"5"
"62758";"Hauts-de-France";"Saint-Martin-Boulogne";"11153";"13";"20";"2";"1";"Saint-Martin-Boulogne";"1";"5";"1";"4";"2";"2";"1";"0";"6"
"62765";"Hauts-de-France";"Saint-Omer";"15263";"20";"29";"6";"5";"Saint-Omer";"1";"1";"1";"2";"2";"1";"1";"4";"6"
"63014";"Auvergne-Rhône-Alpes";"Aubière";"10367";"12";"14";"3";"3";"Aubière";"2";"3";"2";"2";"2";"3";"1";"5";"4"
"63032";"Auvergne-Rhône-Alpes";"Beaumont";"10847";"14";"24";"3";"0";"Beaumont";"1";"1";"1";"1";"3";"2";"1";"0";"2"
"63075";"Auvergne-Rhône-Alpes";"Chamalières";"17977";"22";"35";"6";"6";"Chamalières";"2";"0";"0";"0";"4";"1";"1";"3";"2"
"63164";"Auvergne-Rhône-Alpes";"Gerzat";"10355";"7";"12";"2";"0";"Gerzat";"2";"2";"0";"2";"2";"3";"3";"1";"4"
"63178";"Auvergne-Rhône-Alpes";"Issoire";"15389";"27";"38";"10";"4";"Issoire";"3";"3";"1";"1";"5";"4";"2";"5";"6"
"63284";"Auvergne-Rhône-Alpes";"Pont-du-Château";"12786";"11";"15";"3";"3";"Pont-du-Château";"1";"1";"0";"2";"1";"2";"1";"2";"2"
"63300";"Auvergne-Rhône-Alpes";"Riom";"19495";"17";"27";"8";"2";"Riom";"1";"2";"1";"3";"4";"5";"3";"4";"6"
"63430";"Auvergne-Rhône-Alpes";"Thiers";"11997";"9";"11";"4";"2";"Thiers";"1";"2";"1";"6";"1";"5";"1";"1";"3"
"64129";"Nouvelle-Aquitaine";"Billère";"14080";"28";"21";"5";"0";"Billère";"3";"2";"1";"4";"3";"4";"1";"3";"2"
"64260";"Nouvelle-Aquitaine";"Hendaye";"18254";"15";"54";"6";"2";"Hendaye";"3";"1";"0";"3";"0";"3";"1";"3";"1"
"64348";"Nouvelle-Aquitaine";"Lons";"14188";"10";"14";"2";"1";"Lons";"7";"2";"0";"1";"4";"4";"2";"5";"2"
"64422";"Nouvelle-Aquitaine";"Oloron-Sainte-Marie";"11273";"18";"40";"7";"4";"Oloron-Sainte-Marie";"4";"2";"2";"4";"5";"3";"3";"5";"3"
"64430";"Nouvelle-Aquitaine";"Orthez";"11322";"9";"17";"5";"2";"Orthez";"6";"3";"1";"4";"5";"5";"2";"2";"4"
"64483";"Nouvelle-Aquitaine";"Saint-Jean-de-Luz";"15007";"42";"66";"8";"1";"Saint-Jean-de-Luz";"2";"1";"2";"3";"4";"2";"3";"8";"3"
"64545";"Nouvelle-Aquitaine";"Urrugne";"10704";"12";"26";"3";"0";"Urrugne";"0";"0";"0";"2";"1";"2";"1";"1";"1"
"65286";"Occitanie";"Lourdes";"13804";"24";"23";"10";"1";"Lourdes";"2";"2";"1";"4";"5";"3";"1";"2";"4"
"66008";"Occitanie";"Argelès-sur-Mer";"11088";"14";"44";"6";"5";"Argelès-sur-Mer";"2";"3";"0";"2";"3";"3";"2";"2";"2"
"66028";"Occitanie";"Cabestany";"10554";"39";"51";"6";"7";"Cabestany";"2";"1";"0";"1";"3";"1";"1";"5";"2"
"66037";"Occitanie";"Canet-en-Roussillon";"12862";"11";"33";"3";"2";"Canet-en-Roussillon";"4";"3";"0";"9";"2";"2";"1";"2";"3"
"66141";"Occitanie";"Pia";"10830";"6";"10";"1";"0";"Pia";"1";"1";"0";"1";"0";"1";"2";"1";"0"
"66171";"Occitanie";"Saint-Cyprien";"11543";"8";"28";"2";"3";"Saint-Cyprien";"5";"2";"0";"1";"1";"1";"1";"1";"3"
"66172";"Occitanie";"Saint-Estève";"11707";"14";"35";"4";"7";"Saint-Estève";"2";"1";"1";"5";"4";"4";"1";"3";"2"
"66180";"Occitanie";"Saint-Laurent-de-la-Salanque";"10135";"11";"18";"7";"1";"Saint-Laurent-de-la-Salanque";"2";"2";"1";"1";"1";"2";"2";"1";"2"
"67043";"Grand Est";"Bischheim";"18162";"17";"20";"1";"0";"Bischheim";"0";"0";"1";"8";"1";"3";"1";"1";"5"
"67046";"Grand Est";"Bischwiller";"12570";"12";"15";"4";"0";"Bischwiller";"1";"1";"2";"3";"4";"2";"1";"1";"6"
"67067";"Grand Est";"Brumath";"10342";"11";"22";"3";"1";"Brumath";"0";"1";"1";"1";"1";"1";"2";"2";"2"
"67130";"Grand Est";"Erstein";"11001";"14";"10";"3";"0";"Erstein";"2";"1";"0";"3";"1";"2";"1";"3";"3"
"67204";"Grand Est";"Hœnheim";"11552";"8";"23";"2";"1";"Hœnheim";"0";"1";"0";"0";"2";"2";"1";"0";"2"
"67348";"Grand Est";"Obernai";"12683";"19";"34";"6";"1";"Obernai";"1";"1";"1";"1";"1";"2";"1";"1";"7"
"67365";"Grand Est";"Ostwald";"13456";"15";"27";"4";"1";"Ostwald";"2";"1";"0";"2";"1";"1";"1";"1";"2"
"67437";"Grand Est";"Saverne";"11662";"19";"29";"8";"3";"Saverne";"1";"2";"1";"7";"5";"4";"1";"1";"5"
"67462";"Grand Est";"Sélestat";"19551";"25";"37";"8";"3";"Sélestat";"1";"2";"2";"3";"3";"2";"1";"2";"4"
"68063";"Grand Est";"Cernay";"11952";"17";"18";"3";"2";"Cernay";"4";"1";"1";"3";"1";"4";"2";"1";"3"
"68112";"Grand Est";"Guebwiller";"11427";"7";"12";"1";"0";"Guebwiller";"0";"2";"1";"1";"3";"1";"1";"2";"4"
"68154";"Grand Est";"Illzach";"15050";"10";"10";"2";"0";"Illzach";"1";"1";"1";"9";"3";"6";"1";"2";"4"
"68166";"Grand Est";"Kingersheim";"13357";"8";"13";"2";"0";"Kingersheim";"1";"1";"3";"11";"2";"4";"1";"3";"4"
"68256";"Grand Est";"Pfastatt";"10370";"4";"7";"1";"1";"Pfastatt";"1";"1";"1";"4";"2";"2";"1";"1";"2"
"68271";"Grand Est";"Riedisheim";"12446";"9";"17";"3";"1";"Riedisheim";"2";"2";"1";"5";"3";"3";"1";"1";"4"
"68278";"Grand Est";"Rixheim";"14017";"10";"30";"3";"1";"Rixheim";"2";"4";"1";"6";"3";"4";"3";"1";"5"
"68375";"Grand Est";"Wittelsheim";"10465";"4";"7";"6";"1";"Wittelsheim";"5";"1";"0";"6";"2";"9";"1";"1";"4"
"68376";"Grand Est";"Wittenheim";"15396";"10";"12";"2";"0";"Wittenheim";"1";"2";"1";"4";"2";"7";"2";"5";"7"
"69019";"Auvergne-Rhône-Alpes";"Belleville-en-Beaujolais";"13819";"13";"16";"6";"3";"Belleville-en-Beaujolais";"2";"1";"2";"5";"2";"4";"2";"1";"4"
"69027";"Auvergne-Rhône-Alpes";"Brignais";"12582";"13";"17";"9";"2";"Brignais";"3";"1";"0";"2";"3";"4";"3";"1";"2"
"69069";"Auvergne-Rhône-Alpes";"Craponne";"12108";"14";"39";"8";"1";"Craponne";"2";"1";"1";"1";"2";"2";"1";"0";"2"
"69081";"Auvergne-Rhône-Alpes";"Écully";"18687";"31";"37";"5";"4";"Écully";"3";"4";"1";"4";"0";"2";"1";"3";"7"
"69089";"Auvergne-Rhône-Alpes";"Francheville";"15414";"9";"36";"4";"2";"Francheville";"1";"5";"1";"2";"3";"2";"1";"1";"2"
"69199";"Auvergne-Rhône-Alpes";"Saint-Fons";"19415";"10";"11";"1";"0";"Saint-Fons";"2";"1";"2";"5";"3";"3";"2";"0";"5"
"69243";"Auvergne-Rhône-Alpes";"Tarare";"10677";"7";"6";"4";"2";"Tarare";"5";"1";"1";"5";"4";"2";"3";"1";"2"
"69271";"Auvergne-Rhône-Alpes";"Chassieu";"11244";"9";"12";"1";"0";"Chassieu";"2";"1";"2";"3";"2";"3";"2";"1";"3"
"69273";"Auvergne-Rhône-Alpes";"Corbas";"11011";"28";"6";"3";"2";"Corbas";"1";"1";"0";"2";"2";"1";"2";"1";"3"
"69277";"Auvergne-Rhône-Alpes";"Genas";"13744";"10";"14";"5";"6";"Genas";"3";"2";"0";"1";"2";"5";"1";"4";"1"
"69283";"Auvergne-Rhône-Alpes";"Mions";"13857";"12";"19";"5";"2";"Mions";"0";"1";"0";"2";"2";"2";"2";"1";"2"
"70285";"Bourgogne-Franche-Comté";"Héricourt";"10775";"13";"7";"2";"0";"Héricourt";"2";"1";"2";"7";"3";"9";"1";"1";"3"
"70550";"Bourgogne-Franche-Comté";"Vesoul";"15892";"21";"23";"13";"3";"Vesoul";"2";"0";"1";"6";"5";"4";"3";"4";"8"
"71014";"Bourgogne-Franche-Comté";"Autun";"14136";"16";"17";"5";"0";"Autun";"4";"5";"4";"6";"5";"4";"1";"4";"9"
"71306";"Bourgogne-Franche-Comté";"Montceau-les-Mines";"17093";"12";"19";"4";"1";"Montceau-les-Mines";"2";"1";"1";"7";"5";"6";"2";"6";"5"
"72003";"Pays de la Loire";"Allonnes";"11126";"9";"2";"1";"0";"Allonnes";"2";"1";"3";"7";"4";"4";"3";"1";"4"
"72154";"Pays de la Loire";"La Flèche";"16007";"10";"12";"5";"0";"La Flèche";"18";"4";"3";"7";"9";"8";"3";"5";"6"
"72264";"Pays de la Loire";"Sablé-sur-Sarthe";"12564";"13";"10";"3";"3";"Sablé-sur-Sarthe";"7";"2";"4";"8";"5";"3";"1";"3";"5"
"73179";"Auvergne-Rhône-Alpes";"La Motte-Servolex";"12941";"13";"22";"4";"3";"La Motte-Servolex";"1";"1";"0";"2";"4";"1";"1";"1";"4"
"74042";"Auvergne-Rhône-Alpes";"Bonneville";"13326";"13";"17";"4";"2";"Bonneville";"1";"1";"1";"3";"0";"3";"1";"0";"3"
"74081";"Auvergne-Rhône-Alpes";"Cluses";"17525";"14";"32";"9";"2";"Cluses";"1";"1";"0";"0";"1";"2";"2";"2";"4"
"74133";"Auvergne-Rhône-Alpes";"Gaillard";"10285";"4";"2";"3";"0";"Gaillard";"1";"0";"0";"1";"0";"1";"1";"1";"2"
"74208";"Auvergne-Rhône-Alpes";"Passy";"11488";"12";"17";"1";"2";"Passy";"1";"1";"1";"1";"2";"1";"1";"0";"2"
"74224";"Auvergne-Rhône-Alpes";"La Roche-sur-Foron";"11639";"6";"17";"5";"3";"La Roche-sur-Foron";"0";"1";"1";"2";"4";"2";"2";"2";"3"
"74225";"Auvergne-Rhône-Alpes";"Rumilly";"16460";"13";"37";"5";"2";"Rumilly";"1";"1";"1";"2";"3";"4";"2";"2";"5"
"74243";"Auvergne-Rhône-Alpes";"Saint-Julien-en-Genevois";"16051";"10";"10";"5";"3";"Saint-Julien-en-Genevois";"1";"1";"1";"2";"2";"3";"2";"0";"4"
"74256";"Auvergne-Rhône-Alpes";"Sallanches";"17600";"20";"42";"7";"4";"Sallanches";"1";"1";"0";"2";"4";"4";"1";"1";"2"
"74298";"Auvergne-Rhône-Alpes";"Vétraz-Monthoux";"10081";"2";"11";"1";"1";"Vétraz-Monthoux";"0";"0";"0";"1";"0";"3";"0";"0";"2"
"76057";"Normandie";"Barentin";"12392";"16";"13";"2";"2";"Barentin";"3";"0";"2";"4";"2";"2";"0";"1";"3"
"76108";"Normandie";"Bois-Guillaume";"14623";"18";"32";"6";"2";"Bois-Guillaume";"1";"2";"0";"1";"2";"2";"1";"1";"3"
"76114";"Normandie";"Bolbec";"11782";"5";"9";"3";"1";"Bolbec";"1";"1";"1";"0";"2";"5";"1";"0";"6"
"76157";"Normandie";"Canteleu";"14326";"12";"4";"3";"0";"Canteleu";"2";"2";"2";"4";"2";"5";"1";"1";"4"
"76165";"Normandie";"Caudebec-lès-Elbeuf";"10204";"3";"3";"0";"0";"Caudebec-lès-Elbeuf";"1";"1";"2";"2";"2";"4";"2";"2";"2"
"76216";"Normandie";"Déville-lès-Rouen";"10807";"9";"11";"3";"0";"Déville-lès-Rouen";"1";"2";"0";"1";"1";"2";"3";"0";"3"
"76231";"Normandie";"Elbeuf";"16089";"20";"5";"5";"1";"Elbeuf";"2";"2";"0";"5";"2";"4";"2";"1";"8"
"76259";"Normandie";"Fécamp";"18285";"15";"15";"6";"4";"Fécamp";"2";"2";"1";"3";"2";"3";"1";"2";"7"
"76410";"Normandie";"Maromme";"11146";"16";"10";"5";"0";"Maromme";"2";"1";"1";"2";"1";"2";"1";"1";"2"
"76447";"Normandie";"Montivilliers";"15660";"9";"10";"2";"1";"Montivilliers";"1";"1";"4";"9";"2";"3";"2";"0";"3"
"76476";"Normandie";"Port-Jérôme-sur-Seine";"10559";"7";"6";"3";"1";"Port-Jérôme-sur-Seine";"7";"2";"3";"7";"2";"4";"2";"3";"4"
"76484";"Normandie";"Oissel";"12450";"9";"3";"5";"0";"Oissel";"3";"3";"3";"8";"2";"3";"2";"2";"4"
"76758";"Normandie";"Yvetot";"11593";"23";"14";"6";"3";"Yvetot";"1";"1";"3";"2";"1";"2";"1";"0";"3"
"77014";"Île-de-France";"Avon";"13894";"13";"13";"3";"1";"Avon";"0";"1";"1";"4";"3";"0";"1";"2";"3"
"77053";"Île-de-France";"Brie-Comte-Robert";"19478";"21";"15";"4";"2";"Brie-Comte-Robert";"2";"1";"2";"3";"4";"2";"1";"4";"5"
"77067";"Île-de-France";"Cesson";"11250";"8";"6";"2";"1";"Cesson";"0";"1";"0";"1";"1";"3";"1";"0";"2"
"77118";"Île-de-France";"Claye-Souilly";"12372";"8";"12";"3";"1";"Claye-Souilly";"1";"1";"0";"1";"1";"1";"2";"1";"3"
"77131";"Île-de-France";"Coulommiers";"15455";"15";"10";"6";"2";"Coulommiers";"1";"1";"3";"4";"3";"2";"3";"3";"3"
"77153";"Île-de-France";"Dammartin-en-Goële";"11363";"6";"5";"4";"0";"Dammartin-en-Goële";"1";"1";"2";"3";"0";"2";"1";"1";"3"
"77186";"Île-de-France";"Fontainebleau";"16440";"34";"35";"10";"5";"Fontainebleau";"1";"3";"2";"2";"2";"4";"2";"2";"6"
"77251";"Île-de-France";"Lieusaint";"13889";"12";"13";"4";"1";"Lieusaint";"1";"1";"1";"4";"1";"2";"1";"0";"3"
"77258";"Île-de-France";"Lognes";"14698";"9";"4";"2";"2";"Lognes";"1";"2";"1";"5";"2";"1";"2";"1";"3"
"77296";"Île-de-France";"Moissy-Cramayel";"18390";"17";"7";"3";"0";"Moissy-Cramayel";"1";"1";"1";"11";"1";"3";"1";"1";"4"
"77307";"Île-de-France";"Montévrain";"14024";"3";"14";"7";"2";"Montévrain";"1";"2";"0";"4";"1";"2";"1";"2";"1"
"77316";"Île-de-France";"Moret-Loing-et-Orvanne";"12898";"9";"11";"5";"3";"Moret-Loing-et-Orvanne";"4";"4";"0";"3";"1";"4";"3";"1";"2"
"77333";"Île-de-France";"Nemours";"13338";"14";"12";"4";"3";"Nemours";"0";"0";"1";"3";"1";"1";"2";"2";"3"
